bioguide_id,chamber,job_type,congress_number,congress_start_date,congress_end_date,region_type,region_code,party_name,job_start_date,job_end_date,party_start_date,party_end_date
D000041,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NJ,Democrat,,,,
D000094,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,TN,Democrat,1959-01-03,,,
D000109,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,GA,Democrat,,,,
D000158,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IL,Democrat,,,,
D000211,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Democrat,,,,
D000255,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Democrat,,,,
D000260,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IN,Democrat,,,,
D000266,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Republican,,,,
D000269,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IL,Republican,,,,
D000279,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,OH,Republican,,,,
D000344,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MI,Democrat,,,,
D000355,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MI,Democrat,,,,
D000360,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IL,Republican,,,,
D000368,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,UT,Republican,,,,
D000390,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CT,Democrat,1959-01-03,,,
D000402,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Democrat,,1959-12-31,,
D000419,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MA,Democrat,,,,
D000425,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Republican,,,,
D000433,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Republican,,,,
D000434,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,SC,Democrat,,,,
D000456,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,IL,Democrat,,,,
D000467,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,TX,Democrat,,,,
D000474,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,VA,Democrat,,,,
D000481,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CA,Democrat,,,,
D000523,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Democrat,,,,
D000571,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,NC,Democrat,1959-01-03,,,
D000585,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,ID,Republican,,,,
D000587,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NJ,Republican,,,,
E000018,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MS,Democrat,,,,
E000054,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,OK,Democrat,,,,
E000112,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,LA,Democrat,,,,
E000120,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,AL,Democrat,,,,
E000121,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Republican,1960-04-26,1960-06-19,,
E000181,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,CA,Democrat,1959-01-03,,,
E000211,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NC,Democrat,,,,
E000266,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,TN,Democrat,,,,
E000273,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,TN,Democrat,,,,
F000012,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MD,Democrat,,,,
F000015,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Democrat,,,,
F000041,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,FL,Democrat,,,,
F000060,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,OH,Democrat,,,,
F000075,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,PA,Republican,1959-01-03,,,
F000087,Resident Commissioner,CongressMemberJob,86,1959-01-03,1961-01-03,TerritoryRegion,PR,Popular Democrat,,,,
F000137,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,NY,Republican,,,,
F000152,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,TX,Democrat,,,,
F000209,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,PA,Democrat,,,,
F000227,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,WI,Democrat,,,,
F000229,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,GA,Democrat,,,,
F000233,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,RI,Democrat,,,,
F000237,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,MD,Democrat,,,,
F000245,Senator,CongressMemberJob,86,1959-01-03,1961-01-03,StateRegion,HI,Republican,1959-08-21,,,
F000255,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,RI,Democrat,1959-01-03,,,
F000260,Representative,CongressMemberJob,86,1959-01-03,1961-01-03,DistrictRegion,MI,Republican,1959-01-03,,,
