bioguide_id,chamber,congress_number,region_type,region_code,party,start_date,end_date
S001183,Representative,114,State,AZ,Republican,2015-01-03,2017-01-02
S001184,Senator,114,State,SC,Republican,2015-01-03,2017-01-02
S001185,Representative,114,State,AL,Democrat,2015-01-03,2017-01-02
S001187,Representative,114,State,OH,Republican,2015-01-03,2017-01-02
S001188,Representative,114,State,IN,Republican,2015-01-03,2017-01-02
S001189,Representative,114,State,GA,Republican,2015-01-03,2017-01-02
S001191,Representative,114,State,AZ,Democrat,2015-01-03,2017-01-02
S001192,Representative,114,State,UT,Republican,2015-01-03,2017-01-02
S001193,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
S001194,Senator,114,State,HI,Democrat,2015-01-03,2017-01-02
S001195,Representative,114,State,MO,Republican,2015-01-03,2017-01-02
S001196,Representative,114,State,NY,Republican,2015-01-03,2017-01-02
S001197,Senator,114,State,NE,Republican,2015-01-03,2017-01-02
S001198,Senator,114,State,AK,Republican,2015-01-03,2017-01-02
T000193,Representative,114,State,MS,Democrat,2015-01-03,2017-01-02
T000238,Representative,114,State,TX,Republican,2015-01-03,2017-01-02
T000250,Senator,114,State,SD,Republican,2015-01-03,2017-01-02
T000460,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
T000461,Senator,114,State,PA,Republican,2015-01-03,2017-01-02
T000462,Representative,114,State,OH,Republican,2015-01-03,2017-01-02
T000463,Representative,114,State,OH,Republican,2015-01-03,2017-01-02
T000464,Senator,114,State,MT,Democrat,2015-01-03,2017-01-02
T000465,Representative,114,State,MA,Democrat,2015-01-03,2017-01-02
T000467,Representative,114,State,PA,Republican,2015-01-03,2017-01-02
T000468,Representative,114,State,NV,Democrat,2015-01-03,2017-01-02
T000469,Representative,114,State,NY,Democrat,2015-01-03,2017-01-02
T000470,Representative,114,State,CO,Republican,2015-01-03,2017-01-02
T000472,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
T000473,Representative,114,State,HI,Democrat,2015-01-03,2016-07-20
T000474,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
T000475,Representative,114,State,MI,Republican,2015-01-03,2017-01-02
T000476,Senator,114,State,NC,Republican,2015-01-03,2017-01-02
U000031,Representative,114,State,MI,Republican,2015-01-03,2017-01-02
U000039,Senator,114,State,NM,Democrat,2015-01-03,2017-01-02
V000081,Representative,114,State,NY,Democrat,2015-01-03,2017-01-02
V000108,Representative,114,State,IN,Democrat,2015-01-03,2017-01-02
V000127,Senator,114,State,LA,Republican,2015-01-03,2017-01-02
V000128,Representative,114,State,MD,Democrat,2015-01-03,2017-01-02
V000129,Representative,114,State,CA,Republican,2015-01-03,2017-01-02
V000130,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
V000131,Representative,114,State,TX,Democrat,2015-01-03,2017-01-02
V000132,Representative,114,State,TX,Democrat,2015-01-03,2017-01-02
W000187,Representative,114,State,CA,Democrat,2015-01-03,2017-01-02
W000413,Representative,114,State,KY,Republican,2015-01-03,2016-09-06
W000437,Senator,114,State,MS,Republican,2015-01-03,2017-01-02
W000779,Senator,114,State,OR,Democrat,2015-01-03,2017-01-02
